texte_normalise,texte,categorie_id,categorie_label
projet de loi portant transposition de l'avenant n° 3 du 25 février 2026 au protocole d'accord du 10 novembre 2023 relatif à l'assurance chômage,projet de loi portant transposition de l'avenant n° 3 du 25 février 2026 au protocole d'accord du 10 novembre 2023 relatif à l'assurance chômage,travail_economie_entreprises,"Travail, économie & entreprises"
projet de loi portant transposition des accords nationaux interprofessionnels en faveur de l'emploi des salariés expérimentés et relatif à l'évolution du dialogue social,projet de loi portant transposition des accords nationaux interprofessionnels en faveur de l'emploi des salariés expérimentés et relatif à l'évolution du dialogue social,travail_economie_entreprises,"Travail, économie & entreprises"
projet de loi relatif au transfert à l'etat des personnels enseignants de l'enseignement du premier degré dans les îles wallis et futuna,projet de loi relatif au transfert à l’Etat des personnels enseignants de l’enseignement du premier degré dans les îles Wallis et Futuna,education_enfance_jeunesse,"Éducation, enfance & jeunesse"
projet de loi relatif aux résultats de la gestion et portant approbation des comptes de l'année 2023,projet de loi relatif aux résultats de la gestion et portant approbation des comptes de l'année 2023,finances_fiscalite,Finances publiques & fiscalité
projet de loi relatif à l'organisation des jeux olympiques et paralympiques de 2030,projet de loi relatif à l'organisation des jeux Olympiques et Paralympiques de 2030,autre,Autre / non classé
projet de loi relatif à la lutte contre les fraudes sociales et fiscales,projet de loi relatif à la lutte contre les fraudes sociales et fiscales,finances_fiscalite,Finances publiques & fiscalité
projet de loi relatif à la protection des enfants,projet de loi relatif à la protection des enfants,education_enfance_jeunesse,"Éducation, enfance & jeunesse"
projet de loi relatif à la restitution de biens culturels ayant fait l'objet d'une appropriation illicite,projet de loi relatif à la restitution de biens culturels ayant fait l'objet d'une appropriation illicite,numerique_medias_culture,"Numérique, médias & culture"
"projet de loi relatif à la restitution de biens culturels provenant d'états qui, du fait d'une appropriation illicite, en ont été privés","projet de loi relatif à la restitution de biens culturels provenant d’États qui, du fait d’une appropriation illicite, en ont été privés",numerique_medias_culture,"Numérique, médias & culture"
projet de loi relative aux résultats de la gestion et portant approbation des comptes de l'année 2024,projet de loi relative aux résultats de la gestion et portant approbation des comptes de l'année 2024,finances_fiscalite,Finances publiques & fiscalité
projet de loi relative aux résultats de la gestion et portant approbation des comptes de l'année 2025,projet de loi relative aux résultats de la gestion et portant approbation des comptes de l'année 2025,finances_fiscalite,Finances publiques & fiscalité
projet de loi relative à l'organisation des jeux olympiques et paralympiques de 2030,projet de loi relative à l'organisation des jeux Olympiques et Paralympiques de 2030,autre,Autre / non classé
projet de loi spéciale prévue par l'article 45 de la loi organique du 1er août 2001 relative aux lois de finances,projet de loi spéciale prévue par l'article 45 de la loi organique du 1er août 2001 relative aux lois de finances,finances_fiscalite,Finances publiques & fiscalité
projet de loi sur la justice criminelle et le respect des victimes,projet de loi sur la justice criminelle et le respect des victimes,securite_justice_ordre_public,"Sécurité, justice & ordre public"
"projet de loi visant à offrir des réponses immédiates aux phénomènes troublant l'ordre public, la sécurité et la tranquilité de nos concitoyens","projet de loi visant à offrir des réponses immédiates aux phénomènes troublant l'ordre public, la sécurité et la tranquilité de nos concitoyens",securite_justice_ordre_public,"Sécurité, justice & ordre public"
"projet de loi visant à offrir des réponses immédiates aux phénomènes troublant l'ordre public, la sécurité et la tranquillité de nos concitoyens","projet de loi visant à offrir des réponses immédiates aux phénomènes troublant l'ordre public, la sécurité et la tranquillité de nos concitoyens",securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi améliorant la protection des personnes ciblées par les réseaux de criminalité organisée,proposition de loi améliorant la protection des personnes ciblées par les réseaux de criminalité organisée,securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi appelant à élever alfred dreyfus au grade de général de brigade,proposition de loi appelant à élever Alfred Dreyfus au grade de général de brigade,defense_europe_affaires_etrangeres,"Défense, Europe & affaires étrangères"
proposition de loi autorisant la ratification du traité de coopération en matière de défense entre la république française et la république de djibouti,proposition de loi autorisant la ratification du Traité de coopération en matière de défense entre la République française et la République de Djibouti,defense_europe_affaires_etrangeres,"Défense, Europe & affaires étrangères"
proposition de loi contre les fraudes aux moyens de paiement scripturaux,proposition de loi contre les fraudes aux moyens de paiement scripturaux,securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi contre toutes les fraudes aux aides publiques,proposition de loi contre toutes les fraudes aux aides publiques,finances_fiscalite,Finances publiques & fiscalité
proposition de loi créant l'homicide routier et visant à lutter contre la violence routière,proposition de loi créant l'homicide routier et visant à lutter contre la violence routière,securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi créant une dérogation à la participation minimale pour la maîtrise d'ouvrage pour les communes rurales,proposition de loi créant une dérogation à la participation minimale pour la maîtrise d'ouvrage  pour les communes rurales,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
proposition de loi d'abrogation de la retraite à 64 ans,proposition de loi d'abrogation de la retraite à 64 ans,solidarites_droits_sociaux,Solidarités & droits sociaux
proposition de loi d'expérimentation pour l'instauration d'un enseignement d'éducation à l'alimentation obligatoire à l'école,proposition de loi d'expérimentation pour l'instauration d'un enseignement d'éducation à l'alimentation obligatoire à l'école,education_enfance_jeunesse,"Éducation, enfance & jeunesse"
proposition de loi de simplification du droit de l'urbanisme et du logement,proposition de loi de simplification du droit de l'urbanisme et du logement,logement_urbanisme,Logement & urbanisme
proposition de loi de ssimplification du droit de l'urbanisme et du logement,proposition de loi de ssimplification du droit de l'urbanisme et du logement,logement_urbanisme,Logement & urbanisme
proposition de loi expérimentant l'encadrement des loyers et améliorant l'habitat dans les outre-mer,proposition de loi expérimentant l'encadrement des loyers et améliorant l'habitat dans les outre-mer,logement_urbanisme,Logement & urbanisme
proposition de loi facilitant l'exercice en france des médecins diplômés au royaume-uni avant le brexit,proposition de loi facilitant l'exercice en France des médecins diplômés au Royaume-Uni avant le Brexit,sante_fin_de_vie,Santé & fin de vie
proposition de loi facilitant l'exercice en france des médecins diplômés au royaume-uni ayant débuté leurs études avant le brexit,proposition de loi facilitant l'exercice en France des médecins diplômés au Royaume-Uni ayant débuté leurs études avant le Brexit,sante_fin_de_vie,Santé & fin de vie
proposition de loi instaurant des réponses adaptées et proportionnées pour prévenir notamment le développement des vignes non cultivées,proposition de loi instaurant des réponses adaptées et proportionnées pour prévenir notamment le développement des vignes non cultivées,agriculture_alimentation,Agriculture & alimentation
proposition de loi instaurant un impôt plancher de 2 % sur le patrimoine des ultra riches,proposition de loi instaurant un impôt plancher de 2 % sur le patrimoine des ultra riches,finances_fiscalite,Finances publiques & fiscalité
proposition de loi modifiant la définition pénale du viol et des agressions sexuelles,proposition de loi modifiant la définition pénale du viol et des agressions sexuelles,securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi organique fixant le statut du procureur de la république anti-criminalité organisée,proposition de loi organique fixant le statut du procureur de la République anti-criminalité organisée,securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi organique fixant le statut du procureur de la république national anti-criminalité organisée,proposition de loi organique fixant le statut du procureur de la République national anti-criminalité organisée,securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi organique fixant le statut du procureur national anti-stupéfiants,proposition de loi organique fixant le statut du procureur national anti-stupéfiants,securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi organique portant réforme du financement de l'audiovisuel public,proposition de loi organique portant réforme du financement de l'audiovisuel public,numerique_medias_culture,"Numérique, médias & culture"
proposition de loi organique portant régularisation des natifs dans le corps électoral pour les élections au congrès et aux assemblées de province de nouvelle-calédonie,proposition de loi organique portant régularisation des natifs dans le corps électoral pour les élections au congrès et aux assemblées de province de Nouvelle-Calédonie,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
proposition de loi organique tendant à modifier le ii de l'article 43 de la loi organique n° 2004-192 du 27 février 2004 portant statut d'autonomie de la polynésie française,proposition de loi organique tendant à modifier le II de l’article 43 de la loi organique n° 2004-192 du 27 février 2004 portant statut d’autonomie de la Polynésie française,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
"proposition de loi organique visant à harmoniser le mode de scrutin aux élections municipales afin de garantir la vitalité démocratique, la cohésion municipale et la parité","proposition de loi organique visant à harmoniser le mode de scrutin aux élections municipales afin de garantir la vitalité démocratique, la cohésion municipale et la parité",institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
proposition de loi organique visant à reporter le renouvellement général des membres du congrès et des assemblées de province de la nouvelle-calédonie,proposition de loi organique visant à reporter le renouvellement général des membres du congrès et des assemblées de province de la Nouvelle-Calédonie,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
proposition de loi organique visant à reporter le renouvellement général des membres du congrès et des assemblées de province de la nouvelle-calédonie afin de permettre la poursuite de la discussion en vue d'un accord consensuel sur l'avenir institutionnel de la nouvelle-calédonie,proposition de loi organique visant à reporter le renouvellement général des membres du congrès et des assemblées de province de la Nouvelle-Calédonie afin de permettre la poursuite de la discussion en vue d'un accord consensuel sur l'avenir institutionnel de la Nouvelle-Calédonie,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
proposition de loi organique visant à reporter le renouvellement général des membres du congrès et des assemblées de province de la nouvelle-calédonie pour permettre la mise en oeuvre de l'accord du 12 juillet 2025,proposition de loi organique visant à reporter le renouvellement général des membres du congrès et des assemblées de province de la Nouvelle-Calédonie pour permettre la mise en œuvre de l'accord du 12 juillet 2025,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
"proposition de loi permettant aux salariés de participer aux collectes de sang, de plaquettes ou de plasma sur leur temps de travail","proposition de loi permettant aux salariés de participer aux collectes de sang, de plaquettes ou de plasma sur leur temps de travail",sante_fin_de_vie,Santé & fin de vie
proposition de loi portant abrogation du « code noir »,proposition de loi portant abrogation du « code noir »,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
proposition de loi portant création d'un statut de l'élu local,proposition de loi portant création d'un statut de l'élu local,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
proposition de loi portant plusieurs mesures de justice en faveur de la revalorisation des pensions de retraites agricoles,proposition de loi portant plusieurs mesures de justice en faveur de la revalorisation des pensions de retraites agricoles,solidarites_droits_sociaux,Solidarités & droits sociaux
proposition de loi portant plusieurs mesures pour limiter les frais bancaires,proposition de loi portant plusieurs mesures pour limiter les frais bancaires,finances_fiscalite,Finances publiques & fiscalité
proposition de loi portant programmation nationale pour l'énergie et le climat pour les années 2025 à 2035,proposition de loi portant programmation nationale pour l'énergie et le climat pour les années 2025 à 2035,ecologie_energie_climat,"Écologie, énergie & climat"
proposition de loi portant programmation nationale énergie et climat pour les années 2025 à 2035,proposition de loi portant programmation nationale énergie et climat pour les années 2025 à 2035,ecologie_energie_climat,"Écologie, énergie & climat"
proposition de loi portant pérennisation du contrat de professionnalisation expérimental,proposition de loi portant pérennisation du contrat de professionnalisation expérimental,travail_economie_entreprises,"Travail, économie & entreprises"
proposition de loi portant reconnaissance de la nation envers les rapatriés d'indochine et réparation des préjudices subis par ceux-ci et leurs familles du fait de l'indignité de leurs conditions d'accueil et de vie dans certaines structures sur le territoire français,proposition de loi portant reconnaissance de la Nation envers les rapatriés d'Indochine et réparation des préjudices subis par ceux-ci et leurs familles du fait de l'indignité de leurs conditions d'accueil et de vie dans certaines structures sur le territoire français,solidarites_droits_sociaux,Solidarités & droits sociaux
proposition de loi portant réparation des personnes condamnées pour homosexualité entre 1945 et 1982,proposition de loi portant réparation des personnes condamnées pour homosexualité entre 1945 et 1982,solidarites_droits_sociaux,Solidarités & droits sociaux
proposition de loi pour la mobilisation de l'habitat existant en réponse à la crise du logement,proposition de loi pour la mobilisation de l'habitat existant en réponse à la crise du logement,logement_urbanisme,Logement & urbanisme
proposition de loi pour protéger l'eau potable,proposition de loi pour protéger l'eau potable,ecologie_energie_climat,"Écologie, énergie & climat"
proposition de loi pour retrouver la confiance et l'équilibre dans les rapports locatifs,proposition de loi pour retrouver la confiance et l'équilibre dans les rapports locatifs,logement_urbanisme,Logement & urbanisme
proposition de loi pour un démarchage téléphonique consenti et une protection renforcée des consommateurs contre les abus,proposition de loi pour un démarchage téléphonique consenti et une protection renforcée des consommateurs contre les abus,travail_economie_entreprises,"Travail, économie & entreprises"
proposition de loi pour une montagne vivante et souveraine,proposition de loi pour une montagne vivante et souveraine,logement_urbanisme,Logement & urbanisme
proposition de loi prenant des mesures d'urgence pour protéger nos enfants accueillis en crèches privées à but lucratif,proposition de loi prenant des mesures d'urgence pour protéger nos enfants accueillis en crèches privées à but lucratif,education_enfance_jeunesse,"Éducation, enfance & jeunesse"
proposition de loi relative au droit de vote par correspondance des personnes détenues,proposition de loi relative au droit de vote par correspondance des personnes détenues,vie_politique_procedure,Vie politique & procédure institutionnelle
proposition de loi relative au droit à l'aide à mourir,proposition de loi relative au droit à l'aide à mourir,sante_fin_de_vie,Santé & fin de vie
proposition de loi relative au mode d'élection des membres du conseil de paris et des conseils municipaux de lyon et de marseille,proposition de loi relative au mode d'élection des membres du Conseil de Paris et des conseils municipaux de Lyon et de Marseille,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
proposition de loi relative au renforcement de la sûreté dans les transports,proposition de loi relative au renforcement de la sûreté dans les transports,securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi relative au renforcement de la sûreté dans les transports ( première lecture),proposition de loi relative au renforcement de la sûreté dans les transports ( première lecture),securite_justice_ordre_public,"Sécurité, justice & ordre public"
"proposition de loi relative aux missions des professionnels de santé, vétérinaires et psychothérapeutes des services d'incendie et de secours","proposition de loi relative aux missions des professionnels de santé, vétérinaires et psychothérapeutes des services d'incendie et de secours",sante_fin_de_vie,Santé & fin de vie
proposition de loi relative à l'accompagnement et aux soins palliatifs,proposition de loi relative à l'accompagnement et aux soins palliatifs,sante_fin_de_vie,Santé & fin de vie
proposition de loi relative à l'exercice de la démocratie agricole,proposition de loi relative à l'exercice de la démocratie agricole,agriculture_alimentation,Agriculture & alimentation
proposition de loi relative à l'intérêt des enfants,proposition de loi relative à l'intérêt des enfants,education_enfance_jeunesse,"Éducation, enfance & jeunesse"
proposition de loi relative à l'organisation et aux missions des personnels de santé professionnels et volontaires des services d'incendie et de secours,proposition de loi relative à l'organisation et aux missions des personnels de santé professionnels et volontaires des services d'incendie et de secours,sante_fin_de_vie,Santé & fin de vie
"proposition de loi relative à l'organisation et aux missions des professionnels de santé, vétérinaires, psychothérapeutes et psychologues professionnels et volontaires des services d'incendie et de secours","proposition de loi relative à l'organisation et aux missions des professionnels de santé, vétérinaires, psychothérapeutes et psychologues professionnels et volontaires des services d'incendie et de secours",sante_fin_de_vie,Santé & fin de vie
"proposition de loi relative à l'organisation, à la gestion et au financement du sport professionnel","proposition de loi relative à l'organisation, à la gestion et au financement du sport professionnel",autre,Autre / non classé
proposition de loi relative à l'établissement de l'égalité d'accès au service public postal en outre-mer,proposition de loi relative à l’établissement de l’égalité d’accès au service public postal en outre-mer,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
proposition de loi relative à la gratuité des parkings d'hôpitaux publics,proposition de loi relative à la gratuité des parkings d'hôpitaux publics,sante_fin_de_vie,Santé & fin de vie
proposition de loi relative à la lutte contre l'antisémitisme dans l'enseignement supérieur,proposition de loi relative à la lutte contre l'antisémitisme dans l'enseignement supérieur,education_enfance_jeunesse,"Éducation, enfance & jeunesse"
"proposition de loi relative à la lutte contre l'antisémitisme, le racisme, les discriminations, les violences et la haine dans l'enseignement supérieur","proposition de loi relative à la lutte contre l'antisémitisme, le racisme, les discriminations, les violences et la haine dans l'enseignement supérieur",education_enfance_jeunesse,"Éducation, enfance & jeunesse"
proposition de loi relative à la protection sociale complémentaire des agents publics territoriaux,proposition de loi relative à la protection sociale complémentaire des agents publics territoriaux,solidarites_droits_sociaux,Solidarités & droits sociaux
proposition de loi relative à la raison impérative d'intérêt public majeur de la liaison autoroutière entre castres et toulouse,proposition de loi relative à la raison impérative d'intérêt public majeur de la liaison autoroutière entre Castres et Toulouse,logement_urbanisme,Logement & urbanisme
proposition de loi relative à la restitution d'un bien culturel à la république de côte d'ivoire,proposition de loi relative à la restitution d’un bien culturel à la République de Côte d’Ivoire,numerique_medias_culture,"Numérique, médias & culture"
proposition de loi relative à la réforme de l'audiovisuel public et à la souveraineté audiovisuelle,proposition de loi relative à la réforme de l'audiovisuel public et à la souveraineté audiovisuelle,numerique_medias_culture,"Numérique, médias & culture"
proposition de loi relative à la sortie des collections publiques de restes humains kali'nas et arawaks en vue de funérailles sur le territoire de la guyane,proposition de loi relative à la sortie des collections publiques de restes humains kali'nas et arawaks en vue de funérailles sur le territoire de la Guyane,numerique_medias_culture,"Numérique, médias & culture"
proposition de loi relative à la sûreté dans les transports,proposition de loi relative à la sûreté dans les transports,securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi simplifiant l'ouverture des débits de boissons en zone rurale,proposition de loi simplifiant l'ouverture des débits de boissons en zone rurale,travail_economie_entreprises,"Travail, économie & entreprises"
proposition de loi sur la profession d'infirmier,proposition de loi sur la profession d'infirmier,sante_fin_de_vie,Santé & fin de vie
proposition de loi sur le remboursement intégral des fauteuils roulants par l'assurance maladie,proposition de loi sur le remboursement intégral des fauteuils roulants par l'Assurance maladie,solidarites_droits_sociaux,Solidarités & droits sociaux
proposition de loi visant au rétablissement du délit de séjour irrégulier,proposition de loi visant au rétablissement du délit de séjour irrégulier,securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi visant à accorder le versement des allocations familiales dès le premier enfant,proposition de loi visant à accorder le versement des allocations familiales dès le premier enfant,solidarites_droits_sociaux,Solidarités & droits sociaux
proposition de loi visant à accélérer la prévention cardio-neuro-vasculaire et à anticiper un risque sanitaire et social majeur,proposition de loi visant à accélérer la prévention cardio-neuro-vasculaire et à anticiper un risque sanitaire et social majeur,sante_fin_de_vie,Santé & fin de vie
proposition de loi visant à accélérer le développement du transport maritime à propulsion vélique,proposition de loi visant à accélérer le développement du transport maritime à propulsion vélique,ecologie_energie_climat,"Écologie, énergie & climat"
proposition de loi visant à adapter le fonctionnement des instances de gouvernance des chambres d'agriculture et de la mutualité sociale agricole,proposition de loi visant à adapter le fonctionnement des instances de gouvernance des chambres d'agriculture et de la mutualité sociale agricole,agriculture_alimentation,Agriculture & alimentation
proposition de loi visant à améliorer l'accès au logement des travailleurs des services publics,proposition de loi visant à améliorer l'accès au logement des travailleurs des services publics,logement_urbanisme,Logement & urbanisme
proposition de loi visant à améliorer la prise en charge des soins et dispositifs spécifiques au traitement du cancer du sein par l'assurance maladie,proposition de loi visant à améliorer la prise en charge des soins et dispositifs spécifiques au traitement du cancer du sein par l'assurance maladie,sante_fin_de_vie,Santé & fin de vie
proposition de loi visant à améliorer la protection des commerçants grâce à l'usage d'outils numériques,proposition de loi visant à améliorer la protection des commerçants grâce à l'usage d'outils numériques,securite_justice_ordre_public,"Sécurité, justice & ordre public"
"proposition de loi visant à améliorer la protection et l'accompagnement des parents d'enfants atteints d'un cancer, d'une maladie grave ou d'un handicap","proposition de loi visant à améliorer la protection et l'accompagnement des parents d'enfants atteints d'un cancer, d'une maladie grave ou d'un handicap",solidarites_droits_sociaux,Solidarités & droits sociaux
proposition de loi visant à améliorer le traitement des maladies affectant les cultures végétales à l'aide d'aéronefs télépilotés,proposition de loi visant à améliorer le traitement des maladies affectant les cultures végétales à l'aide d'aéronefs télépilotés,agriculture_alimentation,Agriculture & alimentation
proposition de loi visant à améliorer les moyens d'action de l'agence de gestion et de recouvrement des avoirs saisis et confisqués et à faciliter l'exercice des missions d'expert judiciaire,proposition de loi visant à améliorer les moyens d'action de l'Agence de gestion et de recouvrement des avoirs saisis et confisqués et à faciliter l'exercice des missions d'expert judiciaire,securite_justice_ordre_public,"Sécurité, justice & ordre public"
"proposition de loi visant à assouplir la gestion des compétences ""eau"" et ""assainissement""","proposition de loi visant à assouplir la gestion des compétences ""eau"" et ""assainissement""",institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
proposition de loi visant à assouplir les conditions d'expulsion des étrangers constituant une menace grave pour l'ordre public,proposition de loi visant à assouplir les conditions d’expulsion des étrangers constituant une menace grave pour l’ordre public,securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi visant à assurer le droit de chaque enfant à être assisté d'un avocat dans le cadre d'une mesure d'assistance éducative et de protection de l'enfance,proposition de loi visant à assurer le droit de chaque enfant à être assisté d'un avocat dans le cadre d'une mesure d'assistance éducative et de protection de l'enfance,education_enfance_jeunesse,"Éducation, enfance & jeunesse"
proposition de loi visant à convertir des centrales à charbon vers des combustibles moins émetteurs en dioxyde de carbone pour permettre une transition écologique plus juste socialement,proposition de loi visant à convertir des centrales à charbon vers des combustibles moins émetteurs en dioxyde de carbone pour permettre une transition écologique plus juste socialement,ecologie_energie_climat,"Écologie, énergie & climat"
proposition de loi visant à créer une croix de la valeur des sapeurs-pompiers volontaires et professionnels,proposition de loi visant à créer une croix de la valeur des sapeurs-pompiers volontaires et professionnels,securite_justice_ordre_public,"Sécurité, justice & ordre public"
proposition de loi visant à doter la france d'une stratégie nationale de lutte contre les maladies cardio-neuro-vasculaires,proposition de loi visant à doter la France d'une stratégie nationale de lutte contre les maladies cardio-neuro-vasculaires,sante_fin_de_vie,Santé & fin de vie
proposition de loi visant à empêcher la constitution de monopoles économiques dans le secteur des médias d'information,proposition de loi visant à empêcher la constitution de monopoles économiques dans le secteur des médias d’information,numerique_medias_culture,"Numérique, médias & culture"
